date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2024-05-06,0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2024-05-07,8,97609.0,97.609,1358.9999999999973,0.0,1358.9999999999973,1261.3909999999971,101261.391,0.012613910000000032,101261.391,0.0,0.0
2024-05-08,0,0.0,0.0,0.0,-1302.9999999999993,-1302.9999999999993,-1302.9999999999993,99958.391,-0.012867688139895294,101261.391,-1303.0,-1.286768813989525
2024-05-09,1,11063.0,22.126,-104.00000000000009,1816.9999999999998,1712.9999999999995,1690.8739999999996,101649.265,0.01691577848627031,101649.265,0.0,0.0
2024-05-10,0,0.0,0.0,0.0,-894.9999999999995,-894.9999999999995,-894.9999999999995,100754.265,-0.00880478575029539,101649.265,-895.0,-0.8804785750295419
2024-05-13,1,14664.0,29.328,24.00000000000162,-1382.0000000000045,-1358.0000000000027,-1387.3280000000027,99366.93699999999,-0.013769422068634104,101649.265,-2282.3280000000086,-2.245297100770982
2024-05-14,7,87315.0,158.85600000000002,78.9999999999992,140.0000000000027,219.0000000000019,60.14400000000188,99427.08099999999,0.0006052717515082531,101649.265,-2222.1840000000084,-2.1861289405289974
2024-05-15,1,13875.0,13.875,-278.9999999999999,-341.99999999999875,-620.9999999999986,-634.8749999999986,98792.206,-0.006385332784736841,101649.265,-2857.058999999994,-2.8107030582070536
2024-05-16,0,0.0,0.0,0.0,605.9999999999989,605.9999999999989,605.9999999999989,99398.20599999999,0.006134087136387919,101649.265,-2251.0590000000084,-2.2145354420418206
2024-05-17,0,0.0,0.0,0.0,-129.99999999999972,-129.99999999999972,-129.99999999999972,99268.20599999999,-0.001307870687324075,101649.265,-2381.0590000000084,-2.3424261847835415
2024-05-20,0,0.0,0.0,0.0,227.9999999999987,227.9999999999987,227.9999999999987,99496.20599999999,0.0022968079024214463,101649.265,-2153.0590000000084,-2.1181254975134456
2024-05-21,8,95143.0,109.102,-638.9999999999991,-412.9999999999974,-1051.9999999999964,-1161.1019999999965,98335.104,-0.011669811811718575,101649.265,-3314.160999999993,-3.2603885527357157
2024-05-22,1,15741.999999999998,31.483999999999998,251.99999999999818,2638.999999999999,2890.9999999999973,2859.515999999997,101194.62,0.02907930010426377,101649.265,-454.6450000000041,-0.44726835949084887
2024-05-23,0,0.0,0.0,0.0,-1193.0000000000023,-1193.0000000000023,-1193.0000000000023,100001.62,-0.011789164285611232,101649.265,-1647.645000000004,-1.62091186788218
2024-05-24,2,23494.0,46.988,371.99999999999915,-1132.9999999999995,-761.0000000000005,-807.9880000000004,99193.632,-0.008079749108064426,101649.265,-2455.6330000000016,-2.4157902174698487
2024-05-27,0,0.0,0.0,0.0,100.99999999999872,100.99999999999872,100.99999999999872,99294.632,0.0010182105238368529,101649.265,-2354.6330000000016,-2.316428948108973
2024-05-28,8,97358.0,155.345,-470.99999999999636,-92.00000000000017,-562.9999999999966,-718.3449999999965,98576.287,-0.007234479704804195,101649.265,-3072.978000000003,-3.023118760376675
2024-05-29,0,0.0,0.0,0.0,-42.99999999999997,-42.99999999999997,-42.99999999999997,98533.287,-0.00043621038394355433,101649.265,-3115.978000000003,-3.065421082975861
2024-05-30,0,0.0,0.0,0.0,-163.00000000000168,-163.00000000000168,-163.00000000000168,98370.287,-0.001654263294799046,101649.265,-3278.978000000003,-3.225776398875091
2024-05-31,0,0.0,0.0,0.0,-830.9999999999998,-830.9999999999998,-830.9999999999998,97539.287,-0.008447672822180544,101649.265,-4109.978000000003,-4.043293377477941
2024-06-03,2,24523.0,49.046,-1069.9999999999995,885.9999999999995,-184.00000000000006,-233.04600000000005,97306.241,-0.0023892526505755788,101649.265,-4343.024000000005,-4.272558193116305
2024-06-04,8,93268.0,106.098,675.9999999999962,-19.999999999999574,655.9999999999967,549.9019999999966,97856.143,0.0056512510847069085,101649.265,-3793.122000000003,-3.731578383768941
2024-06-05,0,0.0,0.0,0.0,-636.9999999999968,-636.9999999999968,-636.9999999999968,97219.143,-0.006509555562597639,101649.265,-4430.122000000003,-4.358243023203368
2024-06-06,0,0.0,0.0,0.0,-964.0000000000025,-964.0000000000025,-964.0000000000025,96255.143,-0.009915742622828922,101649.265,-5394.122000000003,-5.306602069380439
2024-06-07,1,9648.0,19.296,261.00000000000085,-925.9999999999989,-664.999999999998,-684.295999999998,95570.847,-0.00710918896042783,101649.265,-6078.418000000005,-5.9797953285742
2024-06-11,1,8229.0,16.458000000000002,87.00000000000045,825.9999999999973,912.9999999999977,896.5419999999976,96467.389,0.00938091508177176,101649.265,-5181.876000000004,-5.097799772580746
2024-06-12,5,61987.0,123.974,-1042.9999999999984,1136.000000000002,93.00000000000358,-30.973999999996423,96436.415,-0.0003210825992191204,101649.265,-5212.850000000006,-5.128271217701386
2024-06-13,0,0.0,0.0,0.0,0.0,0.0,0.0,96436.415,0.0,101649.265,-5212.850000000006,-5.128271217701386
2024-06-14,0,0.0,0.0,0.0,0.0,0.0,0.0,96436.415,0.0,101649.265,-5212.850000000006,-5.128271217701386
2024-06-17,0,0.0,0.0,0.0,0.0,0.0,0.0,96436.415,0.0,101649.265,-5212.850000000006,-5.128271217701386
2024-06-18,7,89347.0,89.347,56.99999999999909,0.0,56.99999999999909,-32.34700000000089,96404.068,-0.00033542308680796875,101649.265,-5245.197,-5.160093385820352
2024-06-19,0,0.0,0.0,0.0,-1577.0000000000016,-1577.0000000000016,-1577.0000000000016,94827.068,-0.016358230858058813,101649.265,-6822.197,-6.711506472771845
2024-06-20,0,0.0,0.0,0.0,-1476.000000000002,-1476.000000000002,-1476.000000000002,93351.06799999998,-0.015565175968532683,101649.265,-8298.197000000015,-8.163558290362472
2024-06-21,3,37115.0,74.23,73.99999999999957,316.00000000000216,390.0000000000017,315.7700000000017,93666.83799999999,0.0033826072562983867,101649.265,-7982.427000000011,-7.852911676242824
2024-06-24,1,12172.0,24.344,131.99999999999932,-159.00000000000173,-27.000000000002416,-51.34400000000241,93615.49399999999,-0.0005481555809538198,101649.265,-8033.771000000008,-7.903422616976141
2024-06-25,8,91748.0,129.123,-1739.0000000000014,247.00000000000318,-1491.9999999999982,-1621.122999999998,91994.37099999998,-0.017316823644598908,101649.265,-9654.894000000015,-9.498242805789115
2024-06-26,0,0.0,0.0,0.0,1424.0000000000032,1424.0000000000032,1424.0000000000032,93418.371,0.01547920796153946,101649.265,-8230.894,-8.097347285295175
2024-06-27,0,0.0,0.0,0.0,-1499.000000000001,-1499.000000000001,-1499.000000000001,91919.371,-0.016046094402566706,101649.265,-9729.894,-9.572025926601635
2024-06-28,1,9877.0,19.754,181.99999999999986,-818.0000000000036,-636.0000000000036,-655.7540000000038,91263.617,-0.00713401313418475,101649.265,-10385.648000000001,-10.217140281338978
2024-07-01,1,14178.0,28.356,-756.0000000000009,2919.0000000000023,2163.0000000000014,2134.644000000001,93398.261,0.023389868494911835,101649.265,-8251.004,-8.117130999422372
2024-07-02,7,84770.0,104.784,-986.0000000000018,-440.00000000000034,-1426.0000000000023,-1530.7840000000022,91867.47699999998,-0.01638985548135649,101649.265,-9781.788000000015,-9.623077943554259
2024-07-03,1,10020.0,20.04,30.000000000000426,-899.0000000000002,-868.9999999999998,-889.0399999999997,90978.43699999999,-0.009677418266314136,101649.265,-10670.828000000009,-10.497693219916549
2024-07-04,1,10640.0,21.28,216.00000000000108,-1614.000000000001,-1397.9999999999995,-1419.2799999999997,89559.15699999999,-0.01560018007343871,101649.265,-12090.108000000007,-11.893945322674004
2024-07-05,2,29918.0,59.836,-600.0000000000007,700.0000000000014,100.00000000000071,40.1640000000007,89599.321,0.000448463354785757,101649.265,-12049.944000000003,-11.854432985816477
2024-07-08,1,7159.999999999999,14.319999999999999,50.0,-675.0000000000007,-625.0000000000007,-639.3200000000007,88960.00099999999,-0.007135321929504433,101649.265,-12689.26400000001,-12.48337998312138
2024-07-09,7,81319.0,94.411,-16.99999999999912,72.0000000000006,55.00000000000148,-39.41099999999852,88920.59,-0.00044301932955230955,101649.265,-12728.675000000003,-12.522151537445946
2024-07-10,1,11058.0,11.058,-18.000000000000682,1210.0000000000018,1192.0000000000011,1180.9420000000011,90101.53199999999,0.013280861046918328,101649.265,-11547.733000000007,-11.360370387331386
2024-07-11,0,0.0,0.0,0.0,3349.0000000000014,3349.0000000000014,3349.0000000000014,93450.53199999999,0.03716917932094651,101649.265,-8198.733000000007,-8.065708099315827
2024-07-12,0,0.0,0.0,0.0,183.99999999999625,183.99999999999625,183.99999999999625,93634.53199999999,0.0019689561531870147,101649.265,-8014.733000000007,-7.884693509589081
2024-07-15,0,0.0,0.0,0.0,-1282.9999999999984,-1282.9999999999984,-1282.9999999999984,92351.53199999999,-0.013702209778759829,101649.265,-9297.733000000007,-9.146876762955447
2024-07-16,9,98700.0,181.332,-936.9999999999955,1266.9999999999945,329.9999999999991,148.66799999999904,92500.2,0.0016098054550952672,101649.265,-9149.065000000002,-9.000620909556012
2024-07-17,0,0.0,0.0,0.0,179.99999999999937,179.99999999999937,179.99999999999937,92680.2,0.0019459417385043493,101649.265,-8969.065000000002,-8.82354141960594
2024-07-18,0,0.0,0.0,0.0,5.000000000001137,5.000000000001137,5.000000000001137,92685.2,0.00005394895565611641,101649.265,-8964.065000000002,-8.818622544885102
2024-07-19,0,0.0,0.0,0.0,494.9999999999996,494.9999999999996,494.9999999999996,93180.2,0.005340658487007635,101649.265,-8469.065000000002,-8.3316539475224
2024-07-22,0,0.0,0.0,0.0,32.99999999999983,32.99999999999983,32.99999999999983,93213.2,0.000354152491623757,101649.265,-8436.065000000002,-8.299189374364879
2024-07-23,7,78556.0,88.21600000000001,-2309.0000000000045,-523.9999999999987,-2833.0000000000036,-2921.2160000000035,90291.984,-0.03133908073105526,101649.265,-11357.281000000003,-11.17300848166487
2024-07-24,3,26255.0,52.510000000000005,339.99999999999915,-1393.9999999999982,-1053.999999999999,-1106.5099999999989,89185.47399999999,-0.012254797723793613,101649.265,-12463.791000000012,-12.261565295135203
2024-07-25,3,35028.0,70.056,-1865.0000000000025,1290.0000000000023,-575.0000000000002,-645.0560000000002,88540.41799999999,-0.007232747341792419,101649.265,-13108.847000000009,-12.896155225519834
2024-07-26,1,10756.0,21.512,-15.999999999999659,-4.000000000000625,-20.000000000000284,-41.512000000000285,88498.90599999999,-0.0004688480237353572,101649.265,-13150.359000000011,-12.936993691002108
2024-07-29,0,0.0,0.0,0.0,0.0,0.0,0.0,88498.90599999999,0.0,101649.265,-13150.359000000011,-12.936993691002108
2024-07-30,8,86704.0,86.70400000000001,228.00000000000082,0.0,228.00000000000082,141.2960000000008,88640.20199999999,0.0015965847080640987,101649.265,-13009.06300000001,-12.797990226491073
