datetime,vt_symbol,direction,price,volume,reason,entry_price,pnl_pct,hold_days
2024-05-07 00:00:00,000002.SZSE,Long,7.36,1600.0,signal_buy,7.36,0.0,0
2024-05-07 00:00:00,000568.SZSE,Long,174.4,100.0,signal_buy,174.4,0.0,0
2024-05-07 00:00:00,000625.SZSE,Long,14.07,800.0,signal_buy,14.07,0.0,0
2024-05-07 00:00:00,002459.SZSE,Long,13.77,800.0,signal_buy,13.77,0.0,0
2024-05-07 00:00:00,002466.SZSE,Long,38.84,300.0,signal_buy,38.84,0.0,0
2024-05-07 00:00:00,600048.SSE,Long,8.17,1300.0,signal_buy,8.17,0.0,0
2024-05-07 00:00:00,600732.SSE,Long,11.98,1200.0,signal_buy,11.98,0.0,0
2024-05-07 00:00:00,688036.SSE,Long,94.72,100.0,signal_buy,94.72,0.0,0
2024-05-09 00:00:00,600048.SSE,Short,8.51,1300.0,"trailing_tp(peak_dd=-3.2%,trail=2.0%)",8.17,4.16,2
2024-05-13 00:00:00,600732.SSE,Short,12.22,1200.0,"trailing_tp(peak_dd=-2.6%,trail=2.0%)",11.98,2.0,4
2024-05-14 00:00:00,000002.SZSE,Short,7.42,1600.0,max_hold(5d),7.36,0.82,5
2024-05-14 00:00:00,000568.SZSE,Short,162.56,100.0,stop_loss(-6.6%),174.4,-6.79,5
2024-05-14 00:00:00,000625.SZSE,Short,13.76,800.0,max_hold(5d),14.07,-2.2,5
2024-05-14 00:00:00,002459.SZSE,Short,14.04,800.0,"trailing_tp(peak_dd=-2.4%,trail=2.0%)",13.77,1.96,5
2024-05-14 00:00:00,002466.SZSE,Short,37.53,300.0,max_hold(5d),38.84,-3.37,5
2024-05-14 00:00:00,002821.SZSE,Long,78.87,200.0,signal_buy,78.87,0.0,0
2024-05-14 00:00:00,688036.SSE,Short,99.14,100.0,max_hold(5d),94.72,4.67,5
2024-05-15 00:00:00,300496.SZSE,Long,46.25,300.0,signal_buy,46.25,0.0,0
2024-05-21 00:00:00,002180.SZSE,Long,28.82,400.0,signal_buy,28.82,0.0,0
2024-05-21 00:00:00,002459.SZSE,Long,13.44,900.0,signal_buy,13.44,0.0,0
2024-05-21 00:00:00,300347.SZSE,Long,57.27,200.0,signal_buy,57.27,0.0,0
