datetime,vt_symbol,direction,price,volume,reason,entry_price,pnl_pct,hold_days
2024-05-14 00:00:00,002920.SZSE,Long,105.79,8100.0,signal_buy,105.79,0.0,0
2024-05-14 00:00:00,002938.SZSE,Long,26.54,36300.0,signal_buy,26.54,0.0,0
2024-05-14 00:00:00,300347.SZSE,Long,56.26,15200.0,signal_buy,56.26,0.0,0
2024-05-14 00:00:00,300394.SZSE,Long,67.56,13400.0,signal_buy,67.56,0.0,0
2024-05-14 00:00:00,300502.SZSE,Long,59.43,15100.0,signal_buy,59.43,0.0,0
2024-05-14 00:00:00,600066.SSE,Long,25.01,33900.0,signal_buy,25.01,0.0,0
2024-05-14 00:00:00,601136.SSE,Long,22.23,40400.0,signal_buy,22.23,0.0,0
2024-05-14 00:00:00,605117.SSE,Long,45.99,19000.0,signal_buy,45.99,0.0,0
2024-05-14 00:00:00,688256.SSE,Long,166.58,6100.0,signal_buy,166.58,0.0,0
2024-05-14 00:00:00,688506.SSE,Long,185.5,7300.0,signal_buy,185.5,0.0,0
2024-05-17 00:00:00,601136.SSE,Short,20.62,40400.0,stop_loss(-7.1%),22.23,-7.24,3
2024-05-17 00:00:00,688506.SSE,Short,189.47,7300.0,"trailing_tp(peak_dd=-2.4%,trail=2.0%)",185.5,2.14,3
2024-05-20 00:00:00,600066.SSE,Short,23.42,33900.0,stop_loss(-6.4%),25.01,-6.36,4
2024-05-20 00:00:00,605117.SSE,Short,43.09,19000.0,stop_loss(-6.3%),45.99,-6.31,4
2024-05-22 00:00:00,002920.SZSE,Short,100.34,8100.0,stop_loss(-5.0%),105.79,-5.15,6
2024-05-22 00:00:00,688256.SSE,Short,187.0,6100.0,"trailing_tp(peak_dd=-4.6%,trail=2.0%)",166.58,12.26,6
2024-05-23 00:00:00,300394.SZSE,Short,69.77,13400.0,"trailing_tp(peak_dd=-5.5%,trail=2.0%)",67.56,3.27,7
2024-05-24 00:00:00,300502.SZSE,Short,62.26,15100.0,"trailing_tp(peak_dd=-3.5%,trail=2.0%)",59.43,4.76,8
2024-05-28 00:00:00,000938.SZSE,Long,22.31,32800.0,signal_buy,22.31,0.0,0
2024-05-28 00:00:00,001979.SZSE,Long,9.64,82400.0,signal_buy,9.64,0.0,0
2024-05-28 00:00:00,002459.SZSE,Long,14.15,55000.0,signal_buy,14.15,0.0,0
2024-05-28 00:00:00,002938.SZSE,Short,27.63,36300.0,max_hold(10d),26.54,4.11,10
2024-05-28 00:00:00,300347.SZSE,Short,54.26,15200.0,max_hold(10d),56.26,-3.55,10
2024-05-28 00:00:00,300394.SZSE,Long,64.49,12200.0,signal_buy,64.49,0.0,0
2024-05-28 00:00:00,300502.SZSE,Long,62.53,12700.0,signal_buy,62.53,0.0,0
2024-05-28 00:00:00,300782.SZSE,Long,86.09,8800.0,signal_buy,86.09,0.0,0
2024-05-28 00:00:00,600547.SSE,Long,28.91,24200.0,signal_buy,28.91,0.0,0
