datetime,vt_symbol,direction,price,volume,reason,entry_price,pnl_pct,hold_days
2024-05-07 00:00:00,000625.SZSE,Long,14.07,1900.0,signal_buy,14.07,0.0,0
2024-05-07 00:00:00,002459.SZSE,Long,13.77,1700.0,signal_buy,13.77,0.0,0
2024-05-07 00:00:00,002466.SZSE,Long,38.84,600.0,signal_buy,38.84,0.0,0
2024-05-07 00:00:00,600233.SSE,Long,15.16,1500.0,signal_buy,15.16,0.0,0
2024-05-09 00:00:00,002459.SZSE,Short,14.18,1700.0,limit_tp(3.0%),13.77,2.98,2
2024-05-10 00:00:00,600233.SSE,Short,15.68,1500.0,limit_tp(3.0%),15.16,3.43,3
2024-05-14 00:00:00,000625.SZSE,Short,13.76,1900.0,max_hold(5d),14.07,-2.2,5
2024-05-14 00:00:00,002466.SZSE,Short,37.53,600.0,max_hold(5d),38.84,-3.37,5
2024-05-14 00:00:00,002920.SZSE,Long,105.79,200.0,signal_buy,105.79,0.0,0
2024-05-15 00:00:00,300496.SZSE,Long,46.25,500.0,signal_buy,46.25,0.0,0
2024-05-21 00:00:00,002459.SZSE,Long,13.44,1900.0,signal_buy,13.44,0.0,0
2024-05-21 00:00:00,300496.SZSE,Short,46.53,500.0,rebalance_out,46.25,0.61,4
2024-05-21 00:00:00,603486.SSE,Long,51.8,400.0,signal_buy,51.8,0.0,0
2024-05-21 00:00:00,688599.SSE,Long,19.2,1400.0,signal_buy,19.2,0.0,0
2024-05-22 00:00:00,002920.SZSE,Short,100.34,200.0,stop_loss(-5.0%),105.79,-5.15,6
2024-05-23 00:00:00,002459.SZSE,Short,15.01,1900.0,limit_tp(3.0%),13.44,11.68,2
2024-05-23 00:00:00,688599.SSE,Short,21.63,1400.0,limit_tp(3.0%),19.2,12.66,2
2024-05-28 00:00:00,002459.SZSE,Long,14.15,1800.0,signal_buy,14.15,0.0,0
2024-05-28 00:00:00,300142.SZSE,Long,13.43,2100.0,signal_buy,13.43,0.0,0
2024-05-28 00:00:00,601699.SSE,Long,20.64,1200.0,signal_buy,20.64,0.0,0
2024-05-28 00:00:00,603486.SSE,Short,51.9,400.0,max_hold(5d),51.8,0.19,5
2024-05-30 00:00:00,002459.SZSE,Short,15.4,1800.0,limit_tp(3.0%),14.15,8.83,2
2024-06-04 00:00:00,300122.SZSE,Long,30.71,900.0,signal_buy,30.71,0.0,0
2024-06-04 00:00:00,300142.SZSE,Short,12.83,2100.0,max_hold(5d),13.43,-4.47,5
2024-06-04 00:00:00,688561.SSE,Long,25.0,1000.0,signal_buy,25.0,0.0,0
2024-06-05 00:00:00,601699.SSE,Short,19.81,1200.0,max_hold(6d),20.64,-4.02,6
2024-06-12 00:00:00,300122.SZSE,Short,29.91,900.0,max_hold(5d),30.71,-2.61,5
