datetime,vt_symbol,direction,price,volume,reason,entry_price,pnl_pct,hold_days
2024-05-07 00:00:00,300308.SZSE,Long,130.89,100.0,signal_buy,130.89,0.0,0
2024-05-07 00:00:00,300347.SZSE,Long,60.49,200.0,signal_buy,60.49,0.0,0
2024-05-07 00:00:00,300476.SZSE,Long,28.77,300.0,signal_buy,28.77,0.0,0
2024-05-07 00:00:00,300502.SZSE,Long,61.13,200.0,signal_buy,61.13,0.0,0
2024-05-07 00:00:00,601136.SSE,Long,22.37,400.0,signal_buy,22.37,0.0,0
2024-05-07 00:00:00,601689.SSE,Long,42.55,200.0,signal_buy,42.55,0.0,0
2024-05-08 00:00:00,002938.SZSE,Long,26.21,300.0,signal_buy,26.21,0.0,0
2024-05-08 00:00:00,300394.SZSE,Long,72.42,100.0,signal_buy,72.42,0.0,0
2024-05-08 00:00:00,688256.SSE,Long,159.0,100.0,signal_buy,159.0,0.0,0
2024-05-09 00:00:00,601136.SSE,Short,22.68,400.0,"trailing_tp(peak_dd=-3.0%,trail=2.0%)",22.37,1.39,2
2024-05-09 00:00:00,688506.SSE,Long,184.0,100.0,signal_buy,184.0,0.0,0
2024-05-13 00:00:00,300308.SZSE,Short,122.99,100.0,stop_loss(-6.7%),130.89,-6.04,4
2024-05-13 00:00:00,300476.SZSE,Short,28.27,300.0,"trailing_tp(peak_dd=-5.3%,trail=2.0%)",28.77,-1.74,1
2024-05-13 00:00:00,601689.SSE,Short,39.66,200.0,stop_loss(-6.6%),42.55,-6.79,1
2024-05-13 00:00:00,688169.SSE,Long,227.34,200.0,signal_buy,227.34,0.0,0
2024-05-13 00:00:00,688256.SSE,Short,170.02,100.0,"trailing_tp(peak_dd=-4.4%,trail=2.0%)",159.0,6.93,3
2024-05-14 00:00:00,300347.SZSE,Short,56.57,200.0,stop_loss(-6.3%),60.49,-6.48,2
2024-05-14 00:00:00,300394.SZSE,Short,68.41,100.0,stop_loss(-6.9%),72.42,-5.54,1
2024-05-14 00:00:00,300476.SZSE,Long,28.04,300.0,signal_buy,28.04,0.0,0
2024-05-14 00:00:00,300628.SZSE,Long,34.56,200.0,signal_buy,34.56,0.0,0
2024-05-14 00:00:00,601136.SSE,Long,22.23,300.0,signal_buy,22.23,0.0,0
2024-05-14 00:00:00,688506.SSE,Short,185.79,100.0,"trailing_tp(peak_dd=-4.1%,trail=2.0%)",184.0,0.97,3
2024-05-15 00:00:00,300394.SZSE,Long,67.17,100.0,signal_buy,67.17,0.0,0
2024-05-15 00:00:00,300502.SZSE,Short,56.91,200.0,stop_loss(-6.9%),61.13,-6.9,3
2024-05-16 00:00:00,300628.SZSE,Short,35.16,200.0,"trailing_tp(peak_dd=-2.5%,trail=2.0%)",34.56,1.74,2
2024-05-16 00:00:00,300661.SZSE,Long,59.42,100.0,signal_buy,59.42,0.0,0
2024-05-17 00:00:00,300347.SZSE,Long,56.89,300.0,signal_buy,56.89,0.0,0
2024-05-17 00:00:00,300442.SZSE,Long,26.42,500.0,signal_buy,26.42,0.0,0
2024-05-17 00:00:00,601136.SSE,Short,20.62,300.0,stop_loss(-7.1%),22.23,-7.24,3
2024-05-17 00:00:00,688169.SSE,Short,215.51,200.0,stop_loss(-5.0%),227.34,-5.2,1
2024-05-17 00:00:00,688256.SSE,Long,177.0,100.0,signal_buy,177.0,0.0,0
2024-05-17 00:00:00,688506.SSE,Long,189.47,100.0,signal_buy,189.47,0.0,0
2024-05-22 00:00:00,600048.SSE,Long,10.39,800.0,signal_buy,10.39,0.0,0
2024-05-22 00:00:00,600066.SSE,Long,23.71,300.0,signal_buy,23.71,0.0,0
2024-05-22 00:00:00,688256.SSE,Short,187.0,100.0,"trailing_tp(peak_dd=-4.6%,trail=2.0%)",177.0,5.65,3
2024-05-23 00:00:00,000002.SZSE,Long,9.23,1700.0,signal_buy,9.23,0.0,0
2024-05-23 00:00:00,300394.SZSE,Short,69.77,100.0,"trailing_tp(peak_dd=-5.5%,trail=2.0%)",67.17,3.87,3
2024-05-23 00:00:00,300476.SZSE,Short,29.34,300.0,"trailing_tp(peak_dd=-3.8%,trail=2.0%)",28.04,4.64,1
2024-05-24 00:00:00,002938.SZSE,Short,27.43,300.0,"signal_expired(hold=3d,sig=0.603,renew=3/3)",26.21,4.65,3
2024-05-24 00:00:00,300502.SZSE,Long,61.93,100.0,signal_buy,61.93,0.0,0
2024-05-27 00:00:00,300347.SZSE,Short,53.96,300.0,stop_loss(-5.2%),56.89,-5.15,3
2024-05-27 00:00:00,300394.SZSE,Long,65.46,400.0,signal_buy,65.46,0.0,0
2024-05-27 00:00:00,688256.SSE,Long,170.0,100.0,signal_buy,170.0,0.0,0
2024-05-27 00:00:00,688506.SSE,Short,179.26,100.0,stop_loss(-5.2%),189.47,-5.39,3
2024-05-28 00:00:00,000002.SZSE,Short,8.96,1700.0,"trailing_tp(peak_dd=-7.2%,trail=2.0%)",9.23,-2.93,3
2024-05-28 00:00:00,600048.SSE,Short,9.97,800.0,stop_loss(-5.1%),10.39,-4.04,1
2024-05-29 00:00:00,000002.SZSE,Long,8.53,1400.0,signal_buy,8.53,0.0,0
2024-05-29 00:00:00,002920.SZSE,Long,96.58,100.0,signal_buy,96.58,0.0,0
2024-05-29 00:00:00,300442.SZSE,Short,24.43,500.0,stop_loss(-8.0%),26.42,-7.53,2
2024-05-29 00:00:00,300476.SZSE,Long,26.5,400.0,signal_buy,26.5,0.0,0
2024-05-29 00:00:00,600048.SSE,Long,9.69,1200.0,signal_buy,9.69,0.0,0
2024-05-29 00:00:00,688256.SSE,Short,174.3,100.0,"trailing_tp(peak_dd=-2.1%,trail=2.0%)",170.0,2.53,2
2024-05-31 00:00:00,002938.SZSE,Long,28.68,100.0,signal_buy,28.68,0.0,0
2024-06-03 00:00:00,300661.SZSE,Short,59.35,100.0,"signal_expired(hold=3d,sig=0.596,renew=3/3)",59.42,-0.12,3
2024-06-04 00:00:00,000002.SZSE,Short,8.08,1400.0,stop_loss(-5.2%),8.53,-5.28,1
2024-06-04 00:00:00,002463.SZSE,Long,32.72,300.0,signal_buy,32.72,0.0,0
2024-06-04 00:00:00,688047.SSE,Long,100.0,100.0,signal_buy,100.0,0.0,0
2024-06-06 00:00:00,300502.SZSE,Short,68.56,100.0,"trailing_tp(peak_dd=-2.9%,trail=2.0%)",61.93,10.71,3
2024-06-07 00:00:00,300502.SZSE,Long,66.05,100.0,signal_buy,66.05,0.0,0
