datetime,vt_symbol,direction,price,volume,reason,entry_price,pnl_pct,hold_days
2024-05-07 00:00:00,000625.SZSE,Long,14.07,1500.0,signal_buy,14.07,0.0,0
2024-05-07 00:00:00,002459.SZSE,Long,13.77,1400.0,signal_buy,13.77,0.0,0
2024-05-07 00:00:00,002466.SZSE,Long,38.84,500.0,signal_buy,38.84,0.0,0
2024-05-07 00:00:00,600233.SSE,Long,15.16,1200.0,signal_buy,15.16,0.0,0
2024-05-07 00:00:00,600570.SSE,Long,20.98,800.0,signal_buy,20.98,0.0,0
2024-05-14 00:00:00,000625.SZSE,Short,13.76,1500.0,max_hold(5d),14.07,-2.2,5
2024-05-14 00:00:00,002459.SZSE,Short,14.04,1400.0,"trailing_tp(peak_dd=-2.4%,trail=2.0%)",13.77,1.96,5
2024-05-14 00:00:00,002466.SZSE,Short,37.53,500.0,max_hold(5d),38.84,-3.37,5
2024-05-14 00:00:00,600233.SSE,Short,15.6,1200.0,max_hold(5d),15.16,2.9,5
2024-05-14 00:00:00,600570.SSE,Short,20.62,800.0,max_hold(5d),20.98,-1.72,5
2024-05-21 00:00:00,000596.SZSE,Long,245.26,100.0,signal_buy,245.26,0.0,0
2024-05-21 00:00:00,002459.SZSE,Long,13.44,1400.0,signal_buy,13.44,0.0,0
2024-05-21 00:00:00,603486.SSE,Long,51.8,300.0,signal_buy,51.8,0.0,0
2024-05-21 00:00:00,603993.SSE,Long,8.5,1900.0,signal_buy,8.5,0.0,0
2024-05-21 00:00:00,688599.SSE,Long,19.2,1000.0,signal_buy,19.2,0.0,0
2024-05-22 00:00:00,603993.SSE,Short,8.01,1900.0,stop_loss(-5.6%),8.5,-5.76,1
2024-05-24 00:00:00,688599.SSE,Short,21.14,1000.0,"trailing_tp(peak_dd=-4.1%,trail=2.0%)",19.2,10.1,3
2024-05-27 00:00:00,000596.SZSE,Short,233.14,100.0,stop_loss(-5.1%),245.26,-4.94,4
2024-05-28 00:00:00,002459.SZSE,Short,14.26,1400.0,"trailing_tp(peak_dd=-3.4%,trail=2.0%)",13.44,6.1,5
2024-05-28 00:00:00,300142.SZSE,Long,13.43,1600.0,signal_buy,13.43,0.0,0
2024-05-28 00:00:00,601699.SSE,Long,20.64,1000.0,signal_buy,20.64,0.0,0
2024-05-28 00:00:00,603486.SSE,Short,51.9,300.0,max_hold(5d),51.8,0.19,5
2024-05-28 00:00:00,688256.SSE,Long,174.51,100.0,signal_buy,174.51,0.0,0
2024-06-04 00:00:00,300122.SZSE,Long,30.71,600.0,signal_buy,30.71,0.0,0
2024-06-04 00:00:00,300142.SZSE,Short,12.83,1600.0,max_hold(5d),13.43,-4.47,5
2024-06-04 00:00:00,688256.SSE,Short,180.63,100.0,max_hold(5d),174.51,3.51,5
2024-06-04 00:00:00,688561.SSE,Long,25.0,700.0,signal_buy,25.0,0.0,0
2024-06-05 00:00:00,601699.SSE,Short,19.81,1000.0,max_hold(6d),20.64,-4.02,6
2024-06-12 00:00:00,300122.SZSE,Short,29.91,600.0,max_hold(5d),30.71,-2.61,5
2024-06-12 00:00:00,688561.SSE,Short,25.14,700.0,max_hold(5d),25.0,0.56,5
2024-06-18 00:00:00,000999.SZSE,Long,35.03,500.0,signal_buy,35.03,0.0,0
2024-06-18 00:00:00,002920.SZSE,Long,96.98,200.0,signal_buy,96.98,0.0,0
