date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2024-05-06,0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2024-05-07,8,77248.0,77.24799999999999,-1549.0000000000002,0.0,-1549.0000000000002,-1626.248,98373.752,-0.01626248000000007,100000.0,-1626.2480000000069,-1.626248000000008
2024-05-08,1,7251.000000000001,14.502000000000002,-39.99999999999915,-68.99999999999943,-108.99999999999858,-123.50199999999859,98250.25,-0.0012554365111538406,100000.0,-1749.75,-1.7497500000000055
2024-05-09,2,17463.0,34.926,28.999999999999204,206.00000000000182,235.00000000000102,200.074000000001,98450.32400000001,0.00203637140872423,100000.0,-1549.6759999999922,-1.5496759999999887
2024-05-10,0,0.0,0.0,0.0,-991.0000000000007,-991.0000000000007,-991.0000000000007,97459.32400000001,-0.010065990234831528,100000.0,-2540.675999999992,-2.5406759999999973
2024-05-13,1,12299.0,24.598,67.99999999999926,-555.000000000001,-487.0000000000017,-511.5980000000018,96947.726,-0.00524934894890111,100000.0,-3052.274000000005,-3.0522740000000104
2024-05-14,10,103168.0,140.656,1933.9999999999982,-659.0000000000002,1274.9999999999977,1134.3439999999978,98082.06999999999,0.01170057356476827,100000.0,-1917.9300000000076,-1.9179300000000121
2024-05-15,0,0.0,0.0,0.0,-222.99999999999898,-222.99999999999898,-222.99999999999898,97859.06999999999,-0.0022736061749104603,100000.0,-2140.9300000000076,-2.1409300000000075
2024-05-16,0,0.0,0.0,0.0,154.99999999999693,154.99999999999693,154.99999999999693,98014.06999999999,0.001583910413209527,100000.0,-1985.9300000000076,-1.9859300000000024
2024-05-17,2,27195.0,54.39,-277.000000000001,1157.000000000005,880.000000000004,825.610000000004,98839.68,0.00842338247967869,100000.0,-1160.320000000007,-1.1603200000000036
2024-05-20,1,8618.0,17.236,-387.99999999999955,1142.9999999999986,754.999999999999,737.763999999999,99577.444,0.007464249176039523,100000.0,-422.55599999999686,-0.42255599999999616
2024-05-21,10,103472.0,135.963,1671.999999999996,-1047.9999999999998,623.9999999999961,488.03699999999606,100065.481,0.004901079806788338,100065.481,0.0,0.0
2024-05-22,0,0.0,0.0,0.0,-38.999999999997925,-38.999999999997925,-38.999999999997925,100026.481,-0.00038974479121326567,100065.481,-39.0,-0.038974479121323125
2024-05-23,0,0.0,0.0,0.0,-670.0,-670.0,-670.0,99356.481,-0.006698226242708668,100065.481,-709.0,-0.7085360435133525
2024-05-24,0,0.0,0.0,0.0,-2062.9999999999986,-2062.9999999999986,-2062.9999999999986,97293.481,-0.020763617825796388,100065.481,-2772.0,-2.77018605446967
2024-05-27,2,16683.0,33.366,-209.9999999999991,1086.9999999999955,876.9999999999965,843.6339999999965,98137.11499999999,0.0086710228817899,100065.481,-1928.366000000009,-1.927104112955802
2024-05-28,10,100992.0,154.231,567.0000000000048,-1135.999999999999,-568.9999999999943,-723.2309999999943,97413.884,-0.007369597119295643,100065.481,-2651.5969999999943,-2.6498618439659505
2024-05-29,0,0.0,0.0,0.0,-18.000000000001393,-18.000000000001393,-18.000000000001393,97395.88399999999,-0.00018477858864568577,100065.481,-2669.597000000009,-2.667850065098887
2024-05-30,0,0.0,0.0,0.0,-459.9999999999985,-459.9999999999985,-459.9999999999985,96935.884,-0.0047229921954400605,100065.481,-3129.5969999999943,-3.127549049606826
2024-05-31,1,8208.0,16.416,0.0,259.999999999998,259.999999999998,243.583999999998,97179.468,0.0025128362165654566,100065.481,-2886.0130000000063,-2.8841244464712146
2024-06-03,0,0.0,0.0,0.0,1453.0000000000023,1453.0000000000023,1453.0000000000023,98632.468,0.014951717990470991,100065.481,-1433.0130000000063,-1.4320752627971722
2024-06-04,10,104558.0,144.576,1795.999999999999,-174.0000000000009,1621.9999999999984,1477.4239999999982,100109.89199999999,0.014979083763776439,100109.89199999999,0.0,0.0
