date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2024-05-06,0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2024-05-07,8,77248.0,77.24799999999999,-1549.0000000000002,0.0,-1549.0000000000002,-1626.248,98373.752,-0.01626248000000007,100000.0,-1626.2480000000069,-1.626248000000008
2024-05-08,3,31667.0,63.334,31.00000000000165,-68.99999999999943,-37.99999999999778,-101.33399999999784,98272.418,-0.001030091848077402,100000.0,-1727.5819999999949,-1.7275819999999942
2024-05-09,2,17463.0,34.926,28.999999999999204,240.99999999999983,269.99999999999903,235.07399999999902,98507.492,0.0023920648823354813,100000.0,-1492.5080000000016,-1.4925080000000035
2024-05-10,0,0.0,0.0,0.0,-799.0000000000006,-799.0000000000006,-799.0000000000006,97708.492,-0.00811105819240632,100000.0,-2291.5080000000016,-2.2915079999999977
2024-05-13,1,8481.0,16.962,86.99999999999974,-530.000000000001,-443.00000000000125,-459.96200000000124,97248.53,-0.004707492568813768,100000.0,-2751.470000000001,-2.7514700000000003
2024-05-14,10,93667.0,110.80499999999998,300.9999999999975,121.00000000000063,421.9999999999981,311.194999999998,97559.72499999999,0.0031999969562521145,100000.0,-2440.2750000000087,-2.440275000000014
2024-05-15,1,11382.0,22.764,-94.0000000000012,-1727.999999999998,-1821.9999999999993,-1844.7639999999992,95714.961,-0.018909073390684483,100000.0,-4285.039000000004,-4.285039000000001
2024-05-16,4,38612.0,77.224,517.9999999999993,-364.0000000000004,153.99999999999886,76.77599999999887,95791.737,0.000802131654214413,100000.0,-4208.263000000006,-4.2082630000000005
2024-05-17,0,0.0,0.0,0.0,277.00000000000034,277.00000000000034,277.00000000000034,96068.737,0.002891689916845333,100000.0,-3931.2630000000063,-3.931263000000007
2024-05-20,3,25515.0,51.03,-188.99999999999864,197.99999999999932,9.000000000000696,-42.029999999999305,96026.707,-0.00043749924598258054,100000.0,-3973.293000000005,-3.973293
2024-05-21,9,89753.0,89.753,58.999999999996646,0.0,58.999999999996646,-30.753000000003453,95995.954,-0.00032025465582191605,100000.0,-4004.046000000002,-4.004046000000006
2024-05-22,1,8811.0,17.622,208.99999999999946,-439.99999999999665,-230.9999999999972,-248.62199999999717,95747.332,-0.0025899216544064247,100000.0,-4252.668000000005,-4.2526680000000034
2024-05-23,1,8802.0,17.604,350.99999999999943,-854.9999999999998,-504.0000000000004,-521.6040000000005,95225.728,-0.005447713154033285,100000.0,-4774.271999999997,-4.774272000000002
2024-05-24,2,16054.0,32.108,293.9999999999998,-2039.9999999999989,-1745.999999999999,-1778.1079999999993,93447.62,-0.01867255874378831,100000.0,-6552.380000000005,-6.552380000000002
2024-05-27,4,44706.0,89.412,-1209.9999999999982,1121.999999999996,-88.00000000000233,-177.4120000000023,93270.208,-0.001898518121702796,100000.0,-6729.792000000001,-6.7297920000000016
2024-05-28,8,66973.0,66.973,-953.0000000000008,-349.99999999999966,-1303.0000000000007,-1369.9730000000004,91900.235,-0.0146882164131123,100000.0,-8099.764999999999,-8.099765000000003
2024-05-29,2,18595.0,37.19,-480.99999999999955,1644.9999999999982,1163.9999999999986,1126.8099999999986,93027.045,0.012261230888038509,100000.0,-6972.955000000002,-6.9729550000000025
2024-05-30,1,8616.0,17.232,-32.00000000000074,-575.9999999999968,-607.9999999999975,-625.2319999999975,92401.813,-0.006720970229678946,100000.0,-7598.187000000005,-7.598187000000001
2024-05-31,1,8208.0,16.416,0.0,-190.0000000000009,-190.0000000000009,-206.4160000000009,92195.397,-0.0022338955622006836,100000.0,-7804.603000000003,-7.804602999999998
2024-06-03,4,31049.0,62.098,-1271.0000000000005,1089.000000000001,-181.99999999999972,-244.09799999999973,91951.299,-0.002647615910802989,100000.0,-8048.701000000001,-8.048701000000003
